,FEATURE_NAME,IMPORTANCE
0,FLAG_OWN_CAR,141
1,FLAG_OWN_REALTY,0
2,CNT_CHILDREN,10
3,AMT_INCOME_TOTAL,30
4,AMT_CREDIT,176
5,AMT_ANNUITY,212
6,AMT_GOODS_PRICE,145
7,REGION_POPULATION_RELATIVE,70
8,DAYS_BIRTH,343
9,DAYS_EMPLOYED,159
10,DAYS_REGISTRATION,120
11,DAYS_ID_PUBLISH,192
12,FLAG_EMP_PHONE,1
13,FLAG_WORK_PHONE,74
14,FLAG_CONT_MOBILE,0
15,FLAG_PHONE,49
16,FLAG_EMAIL,21
17,REGION_RATING_CLIENT_W_CITY,130
18,HOUR_APPR_PROCESS_START,51
19,REG_REGION_NOT_LIVE_REGION,0
20,LIVE_REGION_NOT_WORK_REGION,0
21,REG_CITY_NOT_LIVE_CITY,57
22,LIVE_CITY_NOT_WORK_CITY,0
23,EXT_SOURCE_2,423
24,EXT_SOURCE_3,557
25,YEARS_BEGINEXPLUATATION_MODE,60
26,FLOORSMAX_MODE,22
27,YEARS_BEGINEXPLUATATION_MEDI,17
28,FLOORSMAX_MEDI,47
29,TOTALAREA_MODE,53
30,EMERGENCYSTATE_MODE,0
31,DEF_30_CNT_SOCIAL_CIRCLE,97
32,OBS_60_CNT_SOCIAL_CIRCLE,10
33,DEF_60_CNT_SOCIAL_CIRCLE,17
34,DAYS_LAST_PHONE_CHANGE,74
35,FLAG_DOCUMENT_2,0
36,FLAG_DOCUMENT_3,45
37,FLAG_DOCUMENT_4,0
38,FLAG_DOCUMENT_5,1
39,FLAG_DOCUMENT_6,10
40,FLAG_DOCUMENT_8,8
41,FLAG_DOCUMENT_9,0
42,FLAG_DOCUMENT_10,0
43,FLAG_DOCUMENT_11,0
44,FLAG_DOCUMENT_13,10
45,FLAG_DOCUMENT_14,0
46,FLAG_DOCUMENT_15,5
47,FLAG_DOCUMENT_16,10
48,FLAG_DOCUMENT_17,0
49,FLAG_DOCUMENT_18,11
50,FLAG_DOCUMENT_19,0
51,FLAG_DOCUMENT_20,0
52,FLAG_DOCUMENT_21,0
53,AMT_REQ_CREDIT_BUREAU_HOUR,0
54,AMT_REQ_CREDIT_BUREAU_DAY,0
55,AMT_REQ_CREDIT_BUREAU_WEEK,0
56,AMT_REQ_CREDIT_BUREAU_MON,7
57,AMT_REQ_CREDIT_BUREAU_QRT,81
58,AMT_REQ_CREDIT_BUREAU_YEAR,65
59,IS_FEMALE,271
60,NAME_CONTRACT_TYPE_Cash loans,67
61,NAME_CONTRACT_TYPE_Revolving loans,0
62,NAME_TYPE_SUITE_Children,0
63,NAME_TYPE_SUITE_Other_A,0
64,NAME_TYPE_SUITE_Other_B,0
65,"NAME_TYPE_SUITE_Spouse, partner",0
66,NAME_INCOME_TYPE_Businessman,0
67,NAME_INCOME_TYPE_Maternity leave,0
68,NAME_INCOME_TYPE_Pensioner,0
69,NAME_INCOME_TYPE_State servant,62
70,NAME_INCOME_TYPE_Student,0
71,NAME_INCOME_TYPE_Unemployed,0
72,NAME_INCOME_TYPE_Working,42
73,NAME_EDUCATION_TYPE_Academic degree,0
74,NAME_EDUCATION_TYPE_Higher education,86
75,NAME_EDUCATION_TYPE_Incomplete higher,11
76,NAME_EDUCATION_TYPE_Lower secondary,24
77,NAME_EDUCATION_TYPE_Secondary / secondary special,37
78,NAME_FAMILY_STATUS_Civil marriage,0
79,NAME_FAMILY_STATUS_Married,173
80,NAME_FAMILY_STATUS_Separated,4
81,NAME_FAMILY_STATUS_Single / not married,37
82,NAME_FAMILY_STATUS_Unknown,0
83,NAME_FAMILY_STATUS_Widow,12
84,NAME_HOUSING_TYPE_House / apartment,36
85,NAME_HOUSING_TYPE_Municipal apartment,0
86,NAME_HOUSING_TYPE_Office apartment,25
87,NAME_HOUSING_TYPE_Rented apartment,7
88,WEEKDAY_APPR_PROCESS_START_MONDAY,69
89,WEEKDAY_APPR_PROCESS_START_SATURDAY,5
